SummaryOrNot[T/F],,"Topic: ord, Polarity[0]:Negtive"
,,Walao ... want ord also must do quiz . Stupid ah
,,Omg finally done with this ORD quiz barang leceh
,,Cb ord month knn charge again lor wah suppose have enough money 1 now fuck
,,"	Otw to collect pink ic . ORD LO BITCHES ."
,,"	wlao why suddenly so many ord pics in my ig feed"
,,"	My office mate all ord than me lei ? Not even have a final posting ,  the worst is maybe will maybe won't recourse . - _ -"
,,"	I wish NS gives me bears too ... When I ORD #PolyGiveMeBear #GraduationBear @ wtf am i captioning ? !"
,,"	Booking in soon .. Sigh .. Ord mood .. So sian .. Missing bbyboo .. Haix .."
,,"	@KhaliqMasuri ikr ,  ord is a curse to be damned"
,,"	@Glenkuajx haha sad life . We need to ord man zzz"
,,"	Rifle man conversion cause at last 3 month of ord siannnnnn"
,,"	I just change my damn singpass password and it says incorrect password wth is going on man NS portal !"
,,"	40 days to ORD holyshit if i bought 2 packs of cigarettes now and had one a day i would finish my last stick when i ORD THATS HOW FAST IT IS"
,,"	Felt like ive already ORD but reality hit back hard this coming thursday"
,,"	1 more in take to ord fucking hell"
,,"	So tired ,  need a quick nap ! Whats more got ord function !"
,,"	Pity the police coast guard whom just pass away when hes about to ord :("
,,"	FUCK THIS ORD QUIZ SHIT"
,,"	Watching people ord is torturous"
,,"	Everyone ORD and Im stuck here for 5 more months"
,,"	can i ORD alrdy pls :("
,,"	Seeing people ord today jealous"
,,"	Bloody sgt . Wan bias ? U see when i ord u cfm die . Trust me ."
,,"	@ajiperry : Half dead kene whack like hell and this is ord drill for you @JxckSpxrxow HAHAHAHAHAHA hercules bro"
,,"	can i ORD alrdy pls :("
,,"	@HaiqalDuffel haish can I ord alr ?"
,,"	Want to ord also fucking hell so long"
,,"	Another chapter of my ns life is finally closed . One more upcoming hurdle and it'll be finally time to ord"
,,"	I lazy already la . Faster ORD la fuck"
,,"	So what kai has a grey blsck record ? The title is what the person has been pushing thru like fucking army ,  u push thru mud and shit"
,,"	Would i be able to skip lecture tmr ... My man ord lah bodoh"
,,"	I gt no mood look at the ORD countdown app alr aft my ORD was extended - . -"
,,"	Actually sick of this life . Just wanna faster ord ,  get on with my own life that i want"
,,"	Ord parade rehearsal in a few mins . Farewell 1412 march seriously fucking damn hard ."
,,"	@bengster_ sorry lor ORD korkor ."
,,"	from kenduri ran home to packed then rush for recall . Fts I want to ORD now ! ! !"
,,"	@_ftnA tired ahhhh . Money is never enough . And i can't stay at home doing nothing . Restless but yeah next month dah ord ."
,,"	My workplace is so empty today . :( #EverybodyReportSickOutside #FormationOnCohesion #461DaysToORD ( @ Seletar Camp )"
