SummaryOrNot[T/F],,"Topic: bookout, Polarity[2]:Positive"
,,I'm tired but good mood but breakout but bookout so ALL IS WELL
,,Yay bsk bookout
,,Nothing makes me happier than seeing these two buggers after their bookout ( irfan trying to cover his
,,Cheers to early bookout #christmaseve @ Stagmont Camp
,,I cant wait to bookout tmr ! !
,,"	@ehehyanaketu : 1 more day ! To bookout day ! ! Yay"
,,"	early bookout is good for the soul :)"
,,"	Good morning guys .. Bookout day .. Long weekends .. Hahaha .."
,,"	Relaxing on a bookout day . The sea breeze ,  the waves and the food #whitagram @ East Coast Lagoon"
,,"	it's my boOKOUT DAY AND THEY'RE PLAYING JEANS OMFG THANK U GOD"
,,"	Early bookout always the best"
,,"	Happy 4th month baobei ^ _ ^ national day + 1st bookout . SO EXCITED ! ! SEE YOU LATER ! ! @iMeltYourICE"
,,"	Finally I bookout from camp already :) )"
,,"	Always look out for bookout day ,  when book in day haissss Ä"
,,"	Finally Bookout day tomorrow ."
,,"	Enjoying the bookout life ( @ Sakura International Buffet Restaurant in Singapore )"
,,"	Can't wait to bookout ."
,,"	Well spent bookout hehe"
,,"	@_hvzyh HAHAHA after its gone ,  you will really miss the times of being a CIT ... trust me on this :') bt yeah 2 more nights and u can bookout"
,,"	@wanqinggggg hahaha shiok just finished 8 days in the jungle can bookout already"
,,"	Early bookout feels so good . BOOKOUT LOOOOH"
,,"	Family Day at the River Safari ! #selfie #riversafari #family #bookout #happydays"
,,"	Can't wait to bookout tomorrow ."
,,"	Can't wait for bookout"
,,"	Goodmorning . Finally its friday and I can't wait for his bookout"
,,"	A song for the week ~ ~ ~ 1 more day to bookout Day and I am so happy ya ! !"
,,"	Bookout later and gg jb I can't wait hehe"
,,"	Cant wait to bookout this thursday"
,,"	Cannot bring myself to not enjoy some good food and quality time with her when I bookout . #squaready @"
,,"	His bookout tmr thanks to raya"
,,"	@NathanJonJoseph don't give up ,  can't wait for ur nxt bookout in a month #wecandothis go train dem recruits well !"
,,"	Back in bunk ... One more night and it's bookout day ! ! :D"
,,"	Grocery shopping for the weekend #tgif #shopping #igsg #sgboy #bookout @ Big Box"
,,"	@_hvzyh HAHAHA after its gone ,  you will really miss the times of being a CIT ... trust me on this :') bt yeah 2 more nights and u can bookout"
,,"	Cant wait to bookout this thursday"
,,"	One and a half day before bb bookout ! Fug u for confinement last week that u have to stay in for two weeks but i still love you"
,,"	Cant wait for yan's bookout tmrw . Been a while hang out with my fav buddies"
,,"	Plan when bookout .. Watch The Avengers ,  eat souel Garden .. and might be buying 1 game for myself . :)"
,,"	Yay yay bb bookout today wooohooo . Padahal tk jumpe but the thought that dia nak bookout just makes me happy ."
,,"	Thankful that I was able to bookout in time to witness my"
,,"	@DBM_Keith YEAP but not now anymore MYAHAHAHAHA #bookout"
