topic,neg,neutral,pos
"leader's square , pasir laba camp",0,3,2
national service resort country club,1,46,12
national service training institute,2,7,1
pasir laba camp,3,22,9
nee soon camp,5,19,1
sungei gedong camp,6,18,1
keat hong camp,5,4,0
singapore infantry regiment,3,11,1
home team ns,2,16,3
pulau tekong,1,7,4
field camp,11,33,8
air force,4,42,4
training institute,1,5,0
ns life,5,11,10
service training,0,3,0
safra resort,0,0,0
pasir laba,0,0,0
pasir ris,5,9,3
selarang camp,1,3,2
nee soon,1,0,0
kranji camp,3,10,3
sungei gedong,1,0,0
army life,4,12,2
maju camp,3,11,4
army boys,0,5,0
keat hong,0,0,0
bedok camp,6,16,2
platoon mates,2,7,6
platton mate,0,0,0
ord,34,146,52
ippt,24,66,20
platoon,7,36,14
enlistment,11,40,28
reservist,14,39,11
pasir,0,1,0
kranji,0,0,0
tekong,28,74,14
stagmont,1,4,1
commandos,1,4,2
tampines,0,4,2
jurong,1,9,2
lim chu kang,1,3,2
ocs,5,18,9
mandai,2,11,0
sarimbun,0,6,3
mindef,2,3,0
bookout,14,48,27
navy,1,6,0
cadets,1,11,6
uniform,3,5,1
nsmen,0,3,2
hendon,1,7,3
selarang,0,0,0
khatib,5,5,1
safti,1,5,0
scdf,1,2,2
cadet,4,18,6
rsaf,0,15,4
paya lebar,0,2,0
mandai hill,0,0,0
bmt,9,31,22
ncc,0,1,0
infantry,4,7,0
saf,3,11,5
camp mate,1,1,1
sembawang,3,16,1
amoy quee,1,5,0
bedok,2,1,1
military,0,5,0
seletar,4,7,0
clementi,0,7,2
national service,9,15,5
commando,8,13,6
maju,0,0,0
hq scdf 3rd division,0,0,0
arc tampines,0,0,0
mosquito commando,0,0,0
reservist trainers,0,0,0
officer cadet school,0,0,0
ocs buddy,0,0,0
